track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song
What You've Been ThroughBRELAND,66,,,,,168637,10/18/24 0:00,20,,BRELAND,What You've Been Through
I'm Just Ken (From Barbie The Album)Ryan Gosling,,66,,,,222633,7/21/23 0:00,50,,Ryan Gosling,I'm Just Ken (From Barbie The Album)
Have A Nice DayStereophonics,,,66,,,205066,1/1/01 0:00,59,Just Enough Education To Perform,Stereophonics,Have A Nice Day
Stubborn LoveThe Lumineers,,,,66,,279000,4/3/12 0:00,72,The Lumineers,The Lumineers,Stubborn Love
RiskGracie Abrams,65,49,,46,,191586,6/20/24 0:00,76,The Secret of Us,Gracie Abrams,Risk
ForeverDrake,,65,,,Kanye West,357706,1/1/09 0:00,71,Relapse: Refill,Drake,Forever
augustTaylor Swift,,,65,,,261922,7/24/20 0:00,78,folklore,Taylor Swift,august
L.A.Couch,,,,65,,189470,11/3/23 0:00,35,,Couch,L.A.
She Calls Me Back (with Kacey Musgraves)Noah Kahan,64,,,,Kacey Musgraves,243962,10/6/23 0:00,65,Stick Season (Forever),Noah Kahan,She Calls Me Back (with Kacey Musgraves)
Love in This Club (feat. Young Jeezy)USHER,,64,55,,Jeezy,259720,5/27/08 0:00,69,Here I Stand,USHER,Love in This Club (feat. Young Jeezy)
BODYGUARDBeyoncé,,,64,,,240254,3/27/24 0:00,66,COWBOY CARTER,Beyoncé,BODYGUARD
One And OnlyAdele,,,,64,,348226,1/24/11 0:00,61,21,Adele,One And Only
OvercompensateTwenty One Pilots,63,,,,,236000,2/29/24 0:00,65,Clancy,Twenty One Pilots,Overcompensate
AlaskaMaggie Rogers,,,63,,,188000,2/16/17 0:00,65,Heard It In A Past Life,Maggie Rogers,Alaska
Felt Good About YouGracie Abrams,,,,63,,164693,6/20/24 0:00,60,The Secret of Us,Gracie Abrams,Felt Good About You
Same Work (feat. The War And Treaty)BRELAND,62,,,,The War And Treaty,170645,10/18/24 0:00,26,,BRELAND,Same Work (feat. The War And Treaty)
Wonderwall - RemasteredOasis,,62,,,,258773,1/1/95 0:00,74,(What's The Story) Morning Glory? (Deluxe Remastered Edition),Oasis,Wonderwall - Remastered
Gimme ShelterThe Rolling Stones,,,62,,,270773,12/5/69 0:00,71,Let It Bleed,The Rolling Stones,Gimme Shelter
Red Wine SupernovaChappell Roan,,,,62,,192720,5/17/23 0:00,80,The Rise and Fall of a Midwest Princess,Chappell Roan,Red Wine Supernova
Had It AllGabby Barrett,61,,,,,227440,2/2/24 0:00,22,Chapter & Verse,Gabby Barrett,Had It All
Miss That GirlERNEST,,61,,,,137850,12/16/22 0:00,42,FLOWER SHOPS (THE ALBUM): Two Dozen Roses,ERNEST,Miss That Girl
I Love The Nightlife (Disco 'Round)Alicia Bridges,,,61,,,187973,1/1/78 0:00,46,I Love The Nightlife,Alicia Bridges,I Love The Nightlife (Disco 'Round)
Memory LaneOld Dominion,60,,,,,172480,1/5/23 0:00,66,Memory Lane,Old Dominion,Memory Lane
Safe and SoundCapital Cities,,60,,,,192789,6/4/13 0:00,79,In A Tidal Wave of Mystery,Capital Cities,Safe and Sound
HoudiniDua Lipa,,,60,,,185917,11/9/23 0:00,79,Radical Optimism,Dua Lipa,Houdini
My WayFrank Sinatra,,,,60,,276800,3/1/69 0:00,69,My Way (Expanded Edition),Frank Sinatra,My Way
DoubtTwenty One Pilots,59,,,,,191493,5/15/15 0:00,68,Blurryface,Twenty One Pilots,Doubt
Open the GateZach Bryan,,59,,,,234771,5/6/22 0:00,69,American Heartbreak,Zach Bryan,Open the Gate
