track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song,Popularity_ID
Deeper WellKacey Musgraves,89,,,,,232133.0,2024-03-15 00:00:00,65.0,Deeper Well,Kacey Musgraves,Deeper Well,333XFHKsHU0pOocFzBgrJi
Yeah! (feat. Lil Jon & Ludacris)USHER,,89,,,Lil Jon,250373.0,2004-03-23 00:00:00,84.0,Confessions (Expanded Edition),USHER,Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX
Ghost TownKanye West,,,89,,PARTYNEXTDOOR,271386.0,2018-06-01 00:00:00,78.0,ye,Kanye West,Ghost Town,7vgTNTaEz3CsBZ1N4YQalM
Cigarette DaydreamsCage The Elephant,,,69,89,,208760.0,2013-10-08 00:00:00,80.0,Melophobia,Cage The Elephant,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0
SaraDarius Rucker,88,,,,,219866.0,2023-10-06 00:00:00,28.0,Carolyn's Boy,Darius Rucker,Sara,0XTno2fRFMFGPJG95RxQSR
screenHARDY,,88,,,,227951.0,2023-01-20 00:00:00,45.0,the mockingbird & THE CROW,HARDY,screen,5bLUk3nEJoFAmNMc8WHWIh
Forget You (feat. Gwyneth Paltrow)Glee Cast,,,88,,Gwyneth Paltrow,221360.0,2010-11-26 00:00:00,48.0,"Glee: The Music, Volume 4",Glee Cast,Forget You (feat. Gwyneth Paltrow),0so0moYLqkFWE6dquoCOsh
Slow BurnKacey Musgraves,,,,88,,246133.0,2018-03-30 00:00:00,67.0,Golden Hour,Kacey Musgraves,Slow Burn,6ET9kf9riLETWs9lePUEAI
Backseat DriverKane Brown,87,,,,,228066.0,2024-10-11 00:00:00,67.0,The High Road,Kane Brown,Backseat Driver,68SYsp6XfIEnlDYMgMyxUv
MontanaPierce Edens,,87,,,,309734.0,2012-06-29 00:00:00,35.0,Pierce Edens,Pierce Edens,Montana,6iUYqKyjgFBiHwRQPlltWn
Keep the Customer SatisfiedSimon & Garfunkel,,,87,,,155373.0,1970-01-26 00:00:00,46.0,Bridge Over Troubled Water,Simon & Garfunkel,Keep the Customer Satisfied,4uIjNF84ZbteunNMxr4Xc0
Close To YouGracie Abrams,,,,87,,225973.0,2024-06-20 00:00:00,83.0,The Secret of Us,Gracie Abrams,Close To You,5wbg8kepMFoMzHOEuxiI0q
Goes Without Saying (Feat. Brad Paisley)Post Malone,86,,,,Brad Paisley,212353.0,2024-08-15 00:00:00,61.0,F-1 Trillion,Post Malone,Goes Without Saying (Feat. Brad Paisley),20hTkA9oKKuxghkRptRczS
East Side of SorrowZach Bryan,,86,,,,209320.0,2023-08-25 00:00:00,70.0,Zach Bryan,Zach Bryan,East Side of Sorrow,00syWkRGIVQvYsg2OwfBUw
ShakeJesse McCartney,,,86,,,188560.0,2010-09-12 00:00:00,42.0,,Jesse McCartney,Shake,6L6CPMkduYn5Ty1t1lx0sc
Fair GameDayglow,,,,86,,262500.0,2019-11-14 00:00:00,43.0,Fuzzybrain,Dayglow,Fair Game,5ZFKYhcWTiBNeeE0ZHqJeL
Every Night Every MorningMaddie & Tae,85,,,,,198000.0,2022-06-24 00:00:00,52.0,Through The Madness Vol. 2,Maddie & Tae,Every Night Every Morning,3dKFOqjSQ2nMaz0q08APjS
AmericanMacklemore,,85,,,,253640.0,2010-01-05 00:00:00,36.0,,Macklemore,American,5m4X2HQ0eiviwuKPoREanT
Tenth Avenue Freeze-OutBruce Springsteen,,,85,,,190466.0,1975-08-25 00:00:00,51.0,Born To Run,Bruce Springsteen,Tenth Avenue Freeze-Out,4Gmdm6oRVwJgsM8gYnwRoE
Rolling in the DeepAdele,,,,85,,228093.0,2011-01-17 00:00:00,77.0,21,Adele,Rolling in the Deep,1c8gk2PeTE04A1pIDH9YMk
II MOST WANTEDBeyoncé,84,,,,Miley Cyrus,208521.0,2024-03-27 00:00:00,68.0,COWBOY CARTER,Beyoncé,II MOST WANTED,1UP7PXne1lIYZB5G5aiRGL
DoughKey Glock,,84,,,,198866.0,2020-01-31 00:00:00,67.0,Yellow Tape,Key Glock,Dough,2rw5cbtHTyzy8iruujD28d
Rather Be (feat. Jess Glynne)Clean Bandit,,,84,,Jess Glynne,227833.0,2014-01-17 00:00:00,72.0,New Eyes,Clean Bandit,Rather Be (feat. Jess Glynne),3s4U7OHV7gnj42VV72eSZ6
Movie StarTrousdale,,,,84,,220212.0,2023-04-27 00:00:00,38.0,Out Of My Mind,Trousdale,Movie Star,5wOWfWtfKJesbZSkWl4eRH
Whiskey On YouNate Smith,83,,,,,183786.0,2022-05-06 00:00:00,73.0,NATE SMITH (DELUXE),Nate Smith,Whiskey On You,0unNLQbn2xlm2nPcB1pdjS
ResteGIMS,,83,,,Sting,231520.0,2019-04-26 00:00:00,42.0,Ceinture noire (Transcendance),GIMS,Reste,4F0B8TLdJVACskfkkTqHDI
Come Back...Be Here (Taylor's Version)Taylor Swift,,,83,,,223333.0,2021-11-12 00:00:00,65.0,Red (Taylor's Version),Taylor Swift,Come Back...Be Here (Taylor's Version),4pNApnaUWAL2J4KO2eqokq
Blowing SmokeGracie Abrams,,,,83,,232280.0,2024-06-20 00:00:00,73.0,The Secret of Us,Gracie Abrams,Blowing Smoke,0MIJFuEJpmgSjNjkbq29TQ
TasteSabrina Carpenter,82,,,61,,157279.0,2024-08-23 00:00:00,90.0,Short n' Sweet,Sabrina Carpenter,Taste,5G2f63n7IPVPPjfNIGih7Q
HAPPY HOUR (feat. Knox)HARDY,76,82,,,Knox,161352.0,2024-07-12 00:00:00,51.0,Quit!!,HARDY,HAPPY HOUR (feat. Knox),6WxuJ0miXSbI56DbuxQODG
If I Can't Have YouYvonne Elliman,,,82,,,177960.0,1977-11-15 00:00:00,60.0,Night Flight,Yvonne Elliman,If I Can't Have You,6GQLHDE3YwtVUdDcMv8xwf
The KillMaggie Rogers,,,,82,,251600.0,2024-04-12 00:00:00,60.0,Don't Forget Me,Maggie Rogers,The Kill,06qDEAG26TspT2yK2NLgEZ
She Won't Be Lonely LongClay Walker,81,,,,,209253.0,2010-06-08 00:00:00,68.0,She Won't Be Lonely Long,Clay Walker,She Won't Be Lonely Long,0158TMiGmHyibaDeaUKayX
I'm Different2 Chainz,,81,,,,207040.0,2012-01-01 00:00:00,57.0,Based On A T.R.U. Story (Deluxe),2 Chainz,I'm Different,6J5sxraPPZ4b0CVOGAgpXj
This Is ItTrousdale,,,81,,,195157.0,2021-07-16 00:00:00,31.0,,Trousdale,This Is It,0AZjGAFciL2GpwoBqDxgg9
CoincidenceSabrina Carpenter,,,,81,,164202.0,2024-08-23 00:00:00,77.0,Short n' Sweet,Sabrina Carpenter,Coincidence,5oIVNm56t6OIf9ZjdEG3ud
NumbLinkin Park,80,,,,,187520.0,2003-03-25 00:00:00,86.0,Meteora,Linkin Park,Numb,2nLtzopw4rPReszdYBJU6h
DirtKey Glock,,80,,,,199293.0,2023-02-22 00:00:00,48.0,Glockoma 2,Key Glock,Dirt,04nN9vTH0g61TjyrM0nK2c
Rich GirlDaryl Hall & John Oates,,,80,,,142786.0,1976-08-01 00:00:00,78.0,Bigger Than Both Of Us,Daryl Hall & John Oates,Rich Girl,0qRR9d89hIS0MHRkQ0ejxX
I'll Be WaitingAdele,,,,80,,241351.0,2011-01-24 00:00:00,51.0,21,Adele,I'll Be Waiting,5AKAyMEL5LqCkafztPdBSI
You For A ReasonWarren Zeiders,79,,,,,183133.0,2024-10-18 00:00:00,68.0,,Warren Zeiders,You For A Reason,10QxsSJlNl8jrylYL5XGJO
emo girl (feat. WILLOW)mgk,,79,,,WILLOW,159096.0,2022-03-25 00:00:00,62.0,mainstream sellout,mgk,emo girl (feat. WILLOW),3tBZ60j1jQ7NJm8IjelyQe
There She GoesThe La's,,,79,,,162186.0,1990-01-01 00:00:00,74.0,The La's,The La's,There She Goes,4c6vZqYHFur11FbWATIJ9P
SnowshoesCaamp,,,,79,,204560.0,2022-06-24 00:00:00,64.0,Lavender Days,Caamp,Snowshoes,69BWKQ0qeTnPHdk4lxuLcD
Right About YouPost Malone,78,,,,,183046.0,2024-08-15 00:00:00,57.0,F-1 Trillion,Post Malone,Right About You,7k2nR2eTRVuzAMCXUj3HMv
